station_name,latitude,longitude,charging_power,total_slots,occupied_slots
Neelkanth Star DC Charging Station,29.6019,76.9803,60,5,1
Galleria DC Charging Station,28.4673,77.0818,50,11,3
Highway Xpress (Jaipur-Delhi) DC charging station,27.8751,76.276,50,10,1
Food Carnival DC Charging Station,29.3105,77.7218,50,7,4
Food Carnival AC Charging Station,29.3105,77.7218,50,10,6
Krishna Hansraj Hotel Una DC charging station ,31.4668,76.2568,50,5,7
SG Jabli DC Charging Station,30.879,76.9948,30,11,2
SG Jabli  AC Charging Station,30.879,76.9948,30,9,8
SG Karnal DC Charging Station,29.7379,76.9756,50,5,6
SG Karnal AC Charging Station,29.7379,76.9756,50,5,1
Neelkanth Star AC charging  station,29.6019,76.9803,60,6,0
Deep Brothers IOCL AC Charging Station,28.3861,77.0063,60,7,4
Synergy Solutions AC Charging Station 2,18.538,73.8485,30,10,8
IOCL Rajokri Station,28.5248,77.101,30,9,5
VEEV A2B Kallar,11.3217,76.9163,50,10,2
VEEV Sathya Nursery,11.33,76.9027,50,11,2
IOCL Nehru Nagar Station,28.5682,77.2531,50,10,3
IOCL Mathura Road,28.566,77.2664,30,10,5
IOCL Chahar AC Charging Station,28.456,77.001,60,5,2
Kothari Enterprises  AC1,18.7876,73.3475,60,11,3
Windlass River Valley AC Charging Station,30.2482,78.0961,30,6,4
Mindra Polar International AC Station,23.0158,72.5178,50,6,1
Lonavla Wax Museum DC Charging Station,18.763,73.4252,60,6,8
Heritage City AC Charging Station,28.4823,77.0766,60,5,3
Hotel Fairmont Jaipur AC Station,27.0307,75.8899,50,10,0
The Westin Pushkar AC Charger,26.4547,74.5046,50,6,5
WeWork Circle Demo,28.4632,77.049,50,10,4
Karma Lakelands AC Charger,28.3639,76.9607,50,5,9
Statiq RnD Centre AC Charging Station,28.4997,77.0839,60,6,4
JMD Gardens,28.4336,77.0349,50,11,7
Mindra Crispy Culture AC Charging Station,22.9989,72.5594,50,7,4
IOCL Dhaula Kuan Charging Station,28.5874,77.1713,50,5,0
Tellus Power DC Charging Station,17.0749,74.2227,30,5,4
RSTV Charging Hub Meerut,28.9955,77.7057,30,9,0
Synergy Solutions AC Charging Station 1,18.5145,73.8489,60,8,4
Inspacco Circle Station,18.5619,73.7718,30,7,4
Circle Test Station Goa,15.2735,73.959,60,7,7
Mindra D S Fasteners Charging Station,22.473,70.895,50,9,3
HP Mira Bhayandar DC Charging Station,19.2747,72.8856,50,5,0
HP Pitam Pura DC Charging Station,28.6962,77.155,60,6,9
HPCL Yapral DC Charging Station,17.502,78.539,60,11,7
HP Super Service DC Charging Station,18.9285,72.8255,60,7,6
Vrundavan Garden DC Charging Station Nashik,20.1704,73.8273,50,8,2
Ganpati Petro DC Charging Station Hisar,29.1332,75.7535,50,8,9
Ganpati Petro AC Charging Station Hisar,29.1332,75.7535,60,6,1
Ashnni Pilot Circle Station,16.8433,74.5859,60,9,7
AMC AC Charging Station,18.5808,73.7399,60,6,2
RSTV Saharanpur AC Charging Station,29.977,77.5753,60,11,1
Mindra EV Charger Shott,23.0436,72.4825,60,6,2
Highway King Behror Delhi Side DC Charging Station,27.9145,76.3146,30,11,8
Suket Cafe DC Charging Station Sundar Nagar,31.5153,76.8765,30,8,0
McDonald Gajraula DC Charging Station,28.8382,78.2764,50,6,8
Rani Bagh Resort DC Charging Station,26.125,74.3459,50,5,9
Mke Rental Circle Station,13.067,77.45,30,6,0
Waterwoods Lodge & Resort AC Charging Station,11.9377,76.2655,60,11,8
Kohinoor Altissimo Residential Tower,19.0246,72.8402,60,9,3
Hotel Pramila DC Charging Station Haridwar,29.9324,78.1423,30,9,4
P G Regency Resort Charging Station,18.0855,73.4309,50,5,5
Suket Cafe AC Charging Station Sundar Nagar,31.5153,76.8765,30,11,4
The Forum Fiza Mall AC Charging Station Mangalore,12.8576,74.8383,30,8,0
MSHSD Gojer Service Charging Station    ,12.8427,77.64,60,8,3
Evershine Mall Charging Station,19.1798,72.8361,30,7,2
HP Loyal Pump and Pantry Fuel Charging Station,17.4677,78.5641,50,9,2
Hotel Reddison Square Katra AC Charging Station,32.9867,74.9238,60,6,7
Hotel Mount View International AC Charging Station,32.9918,74.9306,60,11,7
Hotel Dolphin AC Charging Station,32.9892,74.9289,60,9,0
"DMIPL EV Charging Station, Ludhiana",30.8219,75.8668,60,10,5
Z Charging Station,22.3213,73.1881,30,10,8
VEEV Brookfields,11.0096,76.9589,50,9,1
Lake Pleasant Cottage Charging Station,29.3237,79.5921,50,10,0
Nandavan DC Charging Station Nagoan,18.6184,72.9004,60,9,9
Uniworld Garden Charging Station,28.4273,77.0389,30,6,5
Unnati Social Foundation,18.5948,73.7975,60,5,3
"HP PETROL PUMP - SAI PETROLEUM,MUMBAI",19.1709,73.0819,60,10,2
"ShriSamarth DC Charging Station, Beed",19.1779,76.168,30,5,7
CNV Enterprises - HP Petrol Pump,12.9653,77.7331,30,5,3
